392 469
24 234 917912773
363 374 1000000000
117 161 636231223
80 194 17115871
114 376 743350633
77 308 681583007
76 294 697796602
50 254 954239183
34 227 58015409
151 193 235138028
141 151 166273017
98 360 133680375
60 172 783674471
86 218 852860302
146 351 133306578
58 265 208298228
168 182 750902297
73 147 1000000000
30 130 604835916
103 168 379214191
76 245 532976634
271 296 22363432
6 101 1000000000
130 145 990448620
172 288 976869269
178 194 610132099
27 329 55009455
46 70 496271768
185 309 854552047
9 155 469053101
49 64 685094853
54 127 152757783
227 350 459561089
254 344 493662280
41 267 138202467
156 200 888043353
238 260 647081557
15 215 635600935
181 285 169225997
35 85 456895424
193 208 418225275
24 299 499912340
140 302 1000000000
244 291 707622951
84 267 507571231
119 272 411735107
291 319 869593198
264 336 845589558
163 204 172406274
15 317 261770069
189 225 179323892
143 347 1000000000
122 295 328590351
198 305 686263223
7 155 604194439
15 319 650318680
18 327 697121063
217 373 599367766
4 133 773611090
93 334 784132155
99 159 649838555
237 284 682982537
59 279 686474902
136 371 458938433
202 251 924032083
135 353 654313437
35 276 429174554
283 369 914247797
259 261 457764298
313 342 141732293
108 181 486258511
295 369 491040203
119 253 799721318
13 176 399078137
359 361 229267791
166 304 1000000000
122 253 654326007
179 297 469185056
145 306 578035900
23 154 617944397
19 368 1000000000
22 255 619322392
24 338 926324527
209 290 68285626
115 390 97354968
241 376 355009019
180 196 188633833
135 226 205810612
88 98 571248795
220 284 139471773
161 337 756615106
91 357 667945692
115 276 656840387
3 292 156044756
258 371 483914585
31 300 164862541
195 339 1000000000
255 267 371384183
55 98 724355287
103 217 202351370
16 80 778693499
146 378 527602772
27 118 694943739
9 169 956963913
227 235 855849468
50 160 651000726
87 187 413696506
34 148 847139735
111 166 1000000000
108 205 421018322
51 67 472409706
174 338 188092428
180 359 900948538
131 160 88304399
114 165 719744683
190 245 719292992
222 301 682353640
95 99 839356470
13 236 864292277
310 354 30728007
247 312 370121521
152 175 1000000000
142 352 1000000000
142 195 1000000000
218 277 781465189
180 225 380871562
16 377 257280532
151 308 218866784
37 368 1000000000
91 236 694972227
80 366 990595498
290 292 359561727
150 247 178856905
91 108 443019723
192 373 422268807
132 144 1000000000
46 82 471392026
111 243 1000000000
288 289 103074912
120 215 572828071
177 234 13784501
213 217 955553105
253 312 102969261
179 191 200621469
233 239 1000000000
187 359 535885377
194 224 163712827
149 162 721321090
45 113 217189026
53 202 672977193
134 140 1000000000
326 351 1000000000
3 345 355433924
266 382 696383425
71 375 770974066
49 375 245188696
283 376 577812758
232 340 388851524
14 145 422004553
120 158 80374178
171 222 10928244
229 276 488948165
39 154 66872942
212 237 438184827
251 271 170115168
382 389 878974272
138 144 1000000000
60 283 73679261
122 123 231023789
184 192 509948163
60 61 50098760
48 268 1000000000
34 93 773311331
104 333 334808636
100 106 199996105
25 131 689840112
212 272 52545560
69 257 673180790
164 347 1000000000
162 228 114584498
86 141 931277179
4 326 1000000000
18 379 201231317
241 335 240022111
78 244 980302205
198 384 274992768
137 366 133294703
128 391 614641110
91 309 330019204
124 373 40092416
41 112 430955638
196 360 590777592
103 105 498286450
115 303 334690057
215 376 620909553
78 362 367102757
59 369 101858157
242 369 206294489
17 229 477703530
21 61 932906315
29 277 194967047
79 223 653160482
139 314 1000000000
311 346 1000000000
295 336 340032584
20 318 513871818
73 74 1000000000
37 153 1000000000
75 369 444810590
32 267 815147815
330 375 40478514
44 386 583317769
233 363 1000000000
60 240 606130416
300 364 915021417
187 209 253089487
214 282 741872482
328 380 340995144
190 262 201252780
65 93 416754935
178 188 434242966
19 167 1000000000
81 88 941700267
104 135 952989241
157 354 444460000
23 269 510832253
8 85 126625589
115 246 504357610
42 307 1000000000
210 254 11286588
26 334 381510863
143 322 1000000000
225 335 664290252
35 262 486881735
312 386 275041190
65 117 557331836
8 126 266215248
215 361 506252810
356 390 88832957
126 344 780377683
97 387 71291955
10 215 18369501
21 284 906041895
53 204 375390787
28 200 920429386
106 231 453831543
17 318 607370471
104 259 206555092
50 174 683728685
47 321 459954071
137 216 695526393
60 380 144866679
112 321 513914470
190 350 364599108
24 82 556975744
180 288 644643013
277 300 425024330
149 252 737568542
23 317 2183838
246 252 355378243
294 360 368464637
323 324 452235590
14 34 145021370
278 287 592085316
54 280 812258143
110 214 91792329
172 295 211434621
311 351 1000000000
2 161 21860812
105 201 977660469
164 207 1000000000
89 367 700051084
204 281 174866947
294 388 83025953
189 384 726358279
12 59 823802792
79 290 118296955
72 206 936844749
299 373 691824907
309 383 553255486
121 339 177854524
69 207 1000000000
65 278 58289232
160 259 724952216
45 150 258712235
348 388 666129620
90 392 1000000000
16 201 457950469
124 171 225014070
186 389 791186528
12 181 767660996
25 177 388600658
194 272 757632693
49 221 866917622
268 392 1000000000
138 273 638621780
196 365 457436285
100 331 975678580
36 203 955655641
232 292 784676949
57 199 120015166
356 379 872004479
152 286 1000000000
119 192 926116238
209 316 776636913
102 162 339948992
89 197 866098284
107 375 802980685
90 132 1000000000
62 182 374957708
200 327 888610063
242 387 634806708
52 303 533354209
94 353 963106988
78 338 626152918
165 369 935665275
141 391 394165118
86 315 296212450
80 271 519882155
199 327 285200935
16 367 411204162
135 206 865547418
116 301 484047990
261 264 629942103
243 352 1000000000
376 388 461220691
174 187 654185273
80 308 376605035
56 119 732143864
110 387 634780375
169 385 670977290
72 382 273815176
45 325 699601619
141 360 541244664
